127.0.0.1 - - [03/Nov/2023:19:44:13 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:44:14 -0300] "GET /Petshop_crud/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:44:14 -0300] "GET /Petshop_crud/icon/paga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:44:21 -0300] "GET /Petshop_crud/cadastro.jsp HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:44:23 -0300] "GET /Petshop_crud/ReadController HTTP/1.1" 200 3137
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:44:26 -0300] "GET /Petshop_crud/cadastro.jsp HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:44:47 -0300] "POST /Petshop_crud/CreateController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:44:47 -0300] "GET /Petshop_crud/ReadController HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:44:55 -0300] "GET /Petshop_crud/UpdateController?id=8 HTTP/1.1" 200 3502
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:45:08 -0300] "GET /Petshop_crud/UpdateController?id=8 HTTP/1.1" 200 3502
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:45:13 -0300] "POST /Petshop_crud/UpdateController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:45:13 -0300] "GET /Petshop_crud/ReadController HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:45:28 -0300] "GET /Petshop_crud/DeleteController?id=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:45:28 -0300] "GET /Petshop_crud/ReadController HTTP/1.1" 200 3137
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:45:31 -0300] "GET /Petshop_crud/cadastro.jsp HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:47:13 -0300] "POST /Petshop_crud/CreateController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:47:13 -0300] "GET /Petshop_crud/ReadController HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:47:18 -0300] "GET /Petshop_crud/UpdateController?id=9 HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:47:22 -0300] "POST /Petshop_crud/UpdateController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:47:22 -0300] "GET /Petshop_crud/ReadController HTTP/1.1" 200 3509
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:48:19 -0300] "GET /Petshop_crud/ReadController HTTP/1.1" 200 3509
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:48:23 -0300] "GET /Petshop_crud/DeleteController?id=9 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:48:23 -0300] "GET /Petshop_crud/ReadController HTTP/1.1" 200 3137
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:48:24 -0300] "GET /Petshop_crud/cadastro.jsp HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:48:42 -0300] "POST /Petshop_crud/CreateController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:48:42 -0300] "GET /Petshop_crud/ReadController HTTP/1.1" 200 3501
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:48:47 -0300] "GET /Petshop_crud/UpdateController?id=10 HTTP/1.1" 200 3501
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:48:52 -0300] "POST /Petshop_crud/UpdateController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:48:52 -0300] "GET /Petshop_crud/ReadController HTTP/1.1" 200 3511
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:48:55 -0300] "GET /Petshop_crud/UpdateController?id=10 HTTP/1.1" 200 3511
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:49:01 -0300] "POST /Petshop_crud/UpdateController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:49:01 -0300] "GET /Petshop_crud/ReadController HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [03/Nov/2023:19:49:08 -0300] "GET /Petshop_crud/cadastro.jsp HTTP/1.1" 200 3227
